timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz]
2024/05/07 21:09:19.632, 39, 5.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.637, 38, 8.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.640, 39, 7.20 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.644, 39, 9.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.748, 39, 5.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.752, 38, 8.32 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.755, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.759, 39, 9.91 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.862, 39, 5.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.866, 38, 8.21 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.869, 39, 7.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.872, 39, 9.76 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.976, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.979, 38, 8.19 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.983, 39, 7.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:19.986, 39, 10.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.090, 39, 5.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.093, 38, 8.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.097, 39, 7.70 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.100, 39, 10.00 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.203, 39, 5.09 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.207, 38, 8.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.210, 39, 7.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.214, 39, 10.22 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.317, 39, 5.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.321, 38, 8.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.324, 39, 7.65 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.328, 39, 9.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.431, 39, 5.20 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.434, 38, 8.33 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.438, 39, 7.70 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.441, 39, 9.71 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.545, 39, 4.96 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.549, 38, 8.54 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.552, 39, 7.74 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.555, 39, 10.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.659, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.662, 38, 8.23 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.666, 39, 7.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.669, 39, 10.14 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.772, 39, 5.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.776, 38, 8.34 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.779, 39, 7.65 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.783, 39, 10.15 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.886, 39, 5.43 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.890, 38, 8.35 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.893, 39, 7.49 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:20.897, 39, 9.75 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.001, 39, 5.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.004, 38, 8.25 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.008, 39, 7.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.011, 39, 9.89 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.115, 39, 4.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.118, 38, 8.36 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.122, 39, 7.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.126, 39, 9.97 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.229, 39, 5.10 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.233, 38, 8.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.236, 39, 7.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.240, 39, 10.05 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.343, 39, 5.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.347, 38, 8.48 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.351, 39, 7.64 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.354, 39, 10.06 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.458, 39, 4.92 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.461, 38, 8.31 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.465, 39, 7.59 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.469, 39, 10.14 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.572, 39, 4.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.576, 38, 8.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.579, 39, 7.62 W, 300 MHz, 0 %, 405 MHz, 300 MHz
2024/05/07 21:09:21.582, 39, 10.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz
