timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%], name
2024/05/07 20:54:47.798, 40, 4.38 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.802, 39, 4.42 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.805, 39, 1.70 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.809, 40, 3.98 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.912, 40, 5.08 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.916, 39, 4.37 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.919, 39, 2.44 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:47.922, 40, 4.24 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.026, 40, 4.81 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.029, 39, 4.27 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.036, 39, 2.02 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.040, 40, 4.13 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.143, 40, 5.01 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.147, 39, 4.73 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.150, 39, 2.18 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.153, 39, 4.45 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.257, 40, 4.63 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.261, 39, 4.41 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.264, 39, 1.86 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
2024/05/07 20:54:48.268, 40, 4.28 W, 300 MHz, 0 %, 405 MHz, 300 MHz, 0 %, Quadro RTX 5000
