timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 15:40:28.079, 49, 47.28 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.084, 44, 41.96 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.088, 46, 51.41 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.091, 45, 39.91 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.194, 49, 47.40 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.197, 44, 41.92 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.199, 46, 51.41 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.202, 45, 40.06 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.305, 49, 47.37 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.307, 44, 41.91 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.310, 46, 51.36 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.312, 45, 40.04 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.415, 49, 47.44 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.418, 44, 42.03 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.420, 46, 51.41 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.423, 45, 40.02 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.526, 49, 47.42 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.530, 44, 41.99 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.532, 46, 51.38 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.535, 45, 40.13 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.638, 49, 47.49 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
2024/05/07 15:40:28.640, 44, 42.01 W, 1620 MHz, 0 %, 7000 MHz, 0 %, 1620 MHz
