timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], fan.speed [%], clocks.current.graphics [MHz]
2024/05/07 06:33:58.284, 34, 5.26 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.288, 33, 7.98 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.293, 34, 7.45 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.297, 33, 9.87 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.401, 34, 5.02 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.405, 33, 7.96 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.409, 33, 7.54 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.412, 33, 9.89 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.516, 34, 5.03 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.520, 33, 8.24 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.523, 34, 7.81 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.527, 33, 10.28 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.630, 34, 5.14 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.634, 33, 8.19 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.638, 33, 7.48 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.641, 33, 10.03 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.745, 34, 4.87 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.748, 33, 8.26 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.752, 34, 7.65 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.756, 33, 10.05 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.859, 34, 5.15 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.863, 33, 8.24 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.867, 34, 7.42 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.871, 33, 10.06 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.975, 34, 4.90 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.979, 33, 8.53 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.982, 34, 7.22 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:58.986, 33, 10.24 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.090, 34, 4.88 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.094, 33, 8.20 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.098, 34, 7.58 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.101, 33, 9.97 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.205, 34, 4.87 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.209, 33, 7.92 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.213, 34, 7.49 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.216, 33, 9.61 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.320, 34, 4.50 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.324, 33, 8.39 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
2024/05/07 06:33:59.328, 34, 7.74 W, 300 MHz, 0 %, 405 MHz, 0 %, 300 MHz
