timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], clocks.current.memory [MHz], clocks.current.graphics [MHz], utilization.memory [%]
2024/05/07 13:44:32.229, 39, 26.35 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.242, 39, 26.16 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.256, 39, 26.16 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.268, 39, 26.26 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.296, 39, 26.26 W, 135 MHz, 0 %, 850 MHz, 135 MHz, 0 %
2024/05/07 13:44:32.307, 39, 27.99 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.323, 39, 35.49 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.353, 39, 35.49 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.365, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.377, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.389, 39, 35.97 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.402, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.417, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.428, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.441, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.457, 39, 35.96 W, 1200 MHz, 0 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.468, 39, 35.97 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.481, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
2024/05/07 13:44:32.498, 39, 36.07 W, 1200 MHz, 3 %, 850 MHz, 1200 MHz, 0 %
